id,genus,family,order
22497,Cleome,Cleomaceae,Brassicales
22498,Exostyles,Fabaceae,Fabales
22499,Erythranthe,Phrymaceae,Lamiales
22500,Dioscorea,Dioscoreaceae,Dioscoreales
22501,Polygala,Polygalaceae,Fabales
22502,Pycnanthemum,Lamiaceae,Lamiales
22503,Clitoria,Fabaceae,Fabales
22504,Miconia,Melastomataceae,Myrtales
22505,Physaria,Brassicaceae,Brassicales
22506,Rubus,Rosaceae,Rosales
22507,Cephalaria,Caprifoliaceae,Dipsacales
22508,Diplusodon,Lythraceae,Myrtales
22509,Hymenopus,Chrysobalanaceae,Malpighiales
22510,Allocasuarina,Casuarinaceae,Fagales
22511,Drosera,Droseraceae,Caryophyllales
