id,genus,family,order
75658,Prostanthera,Lamiaceae,Lamiales
75659,Picramnia,Picramniaceae,Picramniales
75660,Pourouma,Urticaceae,Rosales
75661,Chusquea,Poaceae,Poales
75662,Salix,Salicaceae,Malpighiales
75663,Atriplex,Amaranthaceae,Caryophyllales
75664,Pentameris,Poaceae,Poales
75665,Lophospermum,Plantaginaceae,Lamiales
75666,Cleyera,Pentaphylacaceae,Ericales
75667,Solanum,Solanaceae,Solanales
75668,Matayba,Sapindaceae,Sapindales
75669,Senna,Fabaceae,Fabales
75670,Phyllonoma,Phyllonomaceae,Aquifoliales
75671,Carex,Cyperaceae,Poales
75672,Solanum,Solanaceae,Solanales
75673,Phylica,Rhamnaceae,Rosales
75674,Firmiana,Malvaceae,Malvales
75675,Bidens,Asteraceae,Asterales
75676,Soehrensia,Cactaceae,Caryophyllales
75677,Diplacus,Phrymaceae,Lamiales
75678,Hyptis,Lamiaceae,Lamiales
75679,Lomatium,Apiaceae,Apiales
75680,Chrozophora,Euphorbiaceae,Malpighiales
75681,Eucalyptus,Myrtaceae,Myrtales
75682,Styrax,Styracaceae,Ericales
75683,Fritillaria,Liliaceae,Liliales
75684,Disa,Orchidaceae,Asparagales
75685,Epidendrum,Orchidaceae,Asparagales
75686,Mimosa,Fabaceae,Fabales
75687,Gladiolus,Iridaceae,Asparagales
75688,Rhynchospora,Cyperaceae,Poales
75689,Dendrosenecio,Asteraceae,Asterales
75690,Rhipsalis,Cactaceae,Caryophyllales
75691,Eriochilus,Orchidaceae,Asparagales
75692,Calamus,Arecaceae,Arecales
75693,Setaria,Poaceae,Poales
75694,Opuntia,Cactaceae,Caryophyllales
75695,Eleocharis,Cyperaceae,Poales
75696,Conostomium,Rubiaceae,Gentianales
75697,Eriolobus,Rosaceae,Rosales
75698,Achillea,Asteraceae,Asterales
75699,Rumex,Polygonaceae,Caryophyllales
75700,Heliconia,Heliconiaceae,Zingiberales
75701,Eremophila,Scrophulariaceae,Lamiales
75702,Buckleya,Santalaceae,Santalales
75703,Astragalus,Fabaceae,Fabales
75704,Rhododendron,Ericaceae,Ericales
75705,Canarium,Burseraceae,Sapindales
75706,Stilpnopappus,Asteraceae,Asterales
75707,Microtoena,Lamiaceae,Lamiales
75708,Patrinia,Caprifoliaceae,Dipsacales
75709,Malva,Malvaceae,Malvales
75710,Rhododendron,Ericaceae,Ericales
75711,Pelargonium,Geraniaceae,Geraniales
75712,Sisyrinchium,Iridaceae,Asparagales
75713,Malpighia,Malpighiaceae,Malpighiales
75714,Jamesbrittenia,Scrophulariaceae,Lamiales
75715,Calochortus,Liliaceae,Liliales
75716,Trimezia,Iridaceae,Asparagales
75717,Caraipa,Calophyllaceae,Malpighiales
75718,Erythrina,Fabaceae,Fabales
75719,Sida,Malvaceae,Malvales
75720,Lepechinia,Lamiaceae,Lamiales
75721,Heteropterys,Malpighiaceae,Malpighiales
75722,Astragalus,Fabaceae,Fabales
75723,Passiflora,Passifloraceae,Malpighiales
75724,Rhytidiadelphus,Hylocomiaceae,Hypnales
75725,Berkheya,Asteraceae,Asterales
75726,Helictotrichon,Poaceae,Poales
75727,Thesium,Santalaceae,Santalales
75728,Bactris,Arecaceae,Arecales
75729,Cornus,Cornaceae,Cornales
75730,Isopogon,Proteaceae,Proteales
75731,Pentagonia,Rubiaceae,Gentianales
75732,Deinandra,Asteraceae,Asterales
75733,Virola,Myristicaceae,Magnoliales
75734,Lessingianthus,Asteraceae,Asterales
75735,Microseris,Asteraceae,Asterales
75736,Bifrenaria,Orchidaceae,Asparagales
75737,Spigelia,Loganiaceae,Gentianales
75738,Moringa,Moringaceae,Brassicales
75739,Sempervivum,Crassulaceae,Saxifragales
75740,Crocus,Iridaceae,Asparagales
75741,Delphinium,Ranunculaceae,Ranunculales
75742,Trichilia,Meliaceae,Sapindales
75743,Vitis,Vitaceae,Vitales
75744,Cynodon,Poaceae,Poales
75745,Cissus,Vitaceae,Vitales
75746,Senecio,Asteraceae,Asterales
75747,Croton,Euphorbiaceae,Malpighiales
75748,Baccaurea,Phyllanthaceae,Malpighiales
75749,Smilax,Smilacaceae,Liliales
75750,Platysepalum,Fabaceae,Fabales
75751,Callicarpa,Lamiaceae,Lamiales
75752,Cryptantha,Boraginaceae,Boraginales
75753,Crassula,Crassulaceae,Saxifragales
75754,Stegolepis,Rapateaceae,Poales
75755,Psiadia,Asteraceae,Asterales
75756,Tetraplodon,Splachnaceae,Splachnales
75757,Ornithocephalus,Orchidaceae,Asparagales
75758,Hoffmannia,Rubiaceae,Gentianales
75759,Tillandsia,Bromeliaceae,Poales
75760,Hedyotis,Rubiaceae,Gentianales
75761,Centropogon,Campanulaceae,Asterales
75762,Oxalis,Oxalidaceae,Oxalidales
75763,Clibadium,Asteraceae,Asterales
75764,Damburneya,Lauraceae,Laurales
75765,Utricularia,Lentibulariaceae,Lamiales
75766,Cryptanthus,Bromeliaceae,Poales
75767,Euphorbia,Euphorbiaceae,Malpighiales
75768,Paepalanthus,Eriocaulaceae,Poales
75769,Polygala,Polygalaceae,Fabales
75770,Loropetalum,Hamamelidaceae,Saxifragales
75771,Heuchera,Saxifragaceae,Saxifragales
75772,Draba,Brassicaceae,Brassicales
75773,Arnica,Asteraceae,Asterales
75774,Corydalis,Papaveraceae,Ranunculales
75775,Carex,Cyperaceae,Poales
75776,Sigesbeckia,Asteraceae,Asterales
75777,Salacia,Celastraceae,Celastrales
75778,Erica,Ericaceae,Ericales
75779,Zapoteca,Fabaceae,Fabales
75780,Scutellaria,Lamiaceae,Lamiales
75781,Spyridium,Rhamnaceae,Rosales
75782,Strychnos,Loganiaceae,Gentianales
75783,Piper,Piperaceae,Piperales
75784,nan,nan,nan
75785,Deutzia,Hydrangeaceae,Cornales
75786,Pimelea,Thymelaeaceae,Malvales
75787,Acer,Sapindaceae,Sapindales
75788,Vicia,Fabaceae,Fabales
75789,Lepanthes,Orchidaceae,Asparagales
75790,Hildegardia,Malvaceae,Malvales
75791,Ongokea,Olacaceae,Santalales
75792,Colchicum,Colchicaceae,Liliales
75793,Cyperus,Cyperaceae,Poales
75794,Croton,Euphorbiaceae,Malpighiales
75795,Hiraea,Malpighiaceae,Malpighiales
75796,Silene,Caryophyllaceae,Caryophyllales
75797,Rhynchosia,Fabaceae,Fabales
75798,Beilschmiedia,Lauraceae,Laurales
75799,Afroaster,Asteraceae,Asterales
75800,Rhododendron,Ericaceae,Ericales
75801,Silene,Caryophyllaceae,Caryophyllales
75802,Galium,Rubiaceae,Gentianales
75803,Digitaria,Poaceae,Poales
75804,Aruncus,Rosaceae,Rosales
75805,Clematis,Ranunculaceae,Ranunculales
75806,Cycas,Cycadaceae,Cycadales
75807,Julbernardia,Fabaceae,Fabales
75808,Selaginella,Selaginellaceae,Selaginellales
75809,Alstroemeria,Alstroemeriaceae,Liliales
75810,Greigia,Bromeliaceae,Poales
75811,Acacia,Fabaceae,Fabales
75812,Oreopanax,Araliaceae,Apiales
75813,Castanopsis,Fagaceae,Fagales
75814,Pentachaeta,Asteraceae,Asterales
75815,Schaueria,Acanthaceae,Lamiales
75816,Erica,Ericaceae,Ericales
75817,Arisaema,Araceae,Alismatales
75818,Genoplesium,Orchidaceae,Asparagales
75819,Sabatia,Gentianaceae,Gentianales
75820,Tahina,Arecaceae,Arecales
75821,Euphorbia,Euphorbiaceae,Malpighiales
75822,Veronica,Plantaginaceae,Lamiales
75823,Conospermum,Proteaceae,Proteales
75824,Cordia,Boraginaceae,Boraginales
75825,Elaphoglossum,Dryopteridaceae,Polypodiales
75826,Viscum,Santalaceae,Santalales
75827,Cuphea,Lythraceae,Myrtales
75828,Baissea,Apocynaceae,Gentianales
75829,Erica,Ericaceae,Ericales
75830,Evolvulus,Convolvulaceae,Solanales
75831,Arabidella,Brassicaceae,Brassicales
75832,Orthrosanthus,Iridaceae,Asparagales
75833,Bromelia,Bromeliaceae,Poales
75834,Syngonanthus,Eriocaulaceae,Poales
75835,Eryngium,Apiaceae,Apiales
75836,Pedicularis,Orobanchaceae,Lamiales
75837,Rhododendron,Ericaceae,Ericales
75838,Commersonia,Malvaceae,Malvales
75839,Cyperus,Cyperaceae,Poales
75840,Faroa,Gentianaceae,Gentianales
75841,Kielmeyera,Calophyllaceae,Malpighiales
75842,Nolletia,Asteraceae,Asterales
75843,Garcinia,Clusiaceae,Malpighiales
75844,Ampelocissus,Vitaceae,Vitales
75845,Clintonia,Liliaceae,Liliales
75846,Arenaria,Caryophyllaceae,Caryophyllales
75847,Bulbophyllum,Orchidaceae,Asparagales
75848,Ecclinusa,Sapotaceae,Ericales
75849,Saxifraga,Saxifragaceae,Saxifragales
75850,Scaphyglottis,Orchidaceae,Asparagales
75851,Mentha,Lamiaceae,Lamiales
75852,Comastoma,Gentianaceae,Gentianales
75853,Rhodostemonodaphne,Lauraceae,Laurales
75854,Lathyrus,Fabaceae,Fabales
75855,Ilex,Aquifoliaceae,Aquifoliales
75856,Petrophile,Proteaceae,Proteales
75857,Ruschia,Aizoaceae,Caryophyllales
75858,Etlingera,Zingiberaceae,Zingiberales
75859,Diplusodon,Lythraceae,Myrtales
75860,Xyris,Xyridaceae,Poales
75861,Primula,Primulaceae,Ericales
75862,Lechea,Cistaceae,Malvales
75863,Panopsis,Proteaceae,Proteales
75864,Asterostigma,Araceae,Alismatales
75865,Madhuca,Sapotaceae,Ericales
75866,Stomatium,Aizoaceae,Caryophyllales
75867,Panicum,Poaceae,Poales
75868,Neillia,Rosaceae,Rosales
75869,Duguetia,Annonaceae,Magnoliales
75870,Aloe,Asphodelaceae,Asparagales
75871,Senna,Fabaceae,Fabales
75872,Virola,Myristicaceae,Magnoliales
75873,Pentameris,Poaceae,Poales
75874,Pedicularis,Orobanchaceae,Lamiales
75875,Sauvagesia,Ochnaceae,Malpighiales
75876,Boehmeria,Urticaceae,Rosales
75877,Neomirandea,Asteraceae,Asterales
75878,Rhynchospora,Cyperaceae,Poales
75879,Crudia,Fabaceae,Fabales
75880,Lithocarpus,Fagaceae,Fagales
75881,Cuscuta,Convolvulaceae,Solanales
75882,Wiborgia,Fabaceae,Fabales
75883,Albizia,Fabaceae,Fabales
75884,Gibsoniothamnus,Schlegeliaceae,Lamiales
75885,Acacia,Fabaceae,Fabales
75886,Vaccinium,Ericaceae,Ericales
75887,Saurauia,Actinidiaceae,Ericales
75888,Parodia,Cactaceae,Caryophyllales
75889,Anthurium,Araceae,Alismatales
75890,Begonia,Begoniaceae,Cucurbitales
75891,Spatalla,Proteaceae,Proteales
75892,Eleocharis,Cyperaceae,Poales
75893,Acacia,Fabaceae,Fabales
75894,Dalbergia,Fabaceae,Fabales
75895,Silene,Caryophyllaceae,Caryophyllales
75896,Aongstroemia,Aongstroemiaceae,Dicranales
75897,Habenaria,Orchidaceae,Asparagales
75898,Elymus,Poaceae,Poales
75899,Neanotis,Rubiaceae,Gentianales
75900,Musschia,Campanulaceae,Asterales
75901,Begonia,Begoniaceae,Cucurbitales
75902,Berberis,Berberidaceae,Ranunculales
75903,Hedyosmum,Chloranthaceae,Chloranthales
75904,Aristea,Iridaceae,Asparagales
75905,Phoradendron,Santalaceae,Santalales
75906,Teucrium,Lamiaceae,Lamiales
75907,Cyphostemma,Vitaceae,Vitales
75908,Pinus,Pinaceae,Pinales
75909,Plagiothecium,Plagiotheciaceae,Hypnales
75910,Adiantum,Pteridaceae,Polypodiales
75911,Epidendrum,Orchidaceae,Asparagales
75912,Pteronia,Asteraceae,Asterales
75913,Carex,Cyperaceae,Poales
75914,Piper,Piperaceae,Piperales
75915,Satyrium,Orchidaceae,Asparagales
75916,Setaria,Poaceae,Poales
75917,Ertela,Rutaceae,Sapindales
75918,Microlicia,Melastomataceae,Myrtales
75919,Billbergia,Bromeliaceae,Poales
75920,Juncus,Juncaceae,Poales
75921,Pleuranthodium,Zingiberaceae,Zingiberales
75922,Tillandsia,Bromeliaceae,Poales
75923,Intsia,Fabaceae,Fabales
75924,Gastrolobium,Fabaceae,Fabales
75925,Castanopsis,Fagaceae,Fagales
75926,Macaranga,Euphorbiaceae,Malpighiales
75927,Gleasonia,Rubiaceae,Gentianales
75928,Baccharis,Asteraceae,Asterales
75929,Swertia,Gentianaceae,Gentianales
75930,Lindsaea,Lindsaeaceae,Polypodiales
75931,Crotalaria,Fabaceae,Fabales
75932,Rytigynia,Rubiaceae,Gentianales
75933,Onobrychis,Fabaceae,Fabales
75934,Stachytarpheta,Verbenaceae,Lamiales
75935,Ericameria,Asteraceae,Asterales
75936,Cinchona,Rubiaceae,Gentianales
75937,Paurolepis,Asteraceae,Asterales
75938,Bougainvillea,Nyctaginaceae,Caryophyllales
75939,Potentilla,Rosaceae,Rosales
75940,Beilschmiedia,Lauraceae,Laurales
75941,Vitex,Lamiaceae,Lamiales
75942,Hibbertia,Dilleniaceae,Dilleniales
75943,Thesium,Santalaceae,Santalales
75944,Evolvulus,Convolvulaceae,Solanales
75945,Euphorbia,Euphorbiaceae,Malpighiales
75946,Physaria,Brassicaceae,Brassicales
75947,Staphylea,Staphyleaceae,Crossosomatales
75948,Myriophyllum,Haloragaceae,Saxifragales
75949,Cynanchum,Apocynaceae,Gentianales
75950,Pyrola,Ericaceae,Ericales
75951,Stenia,Orchidaceae,Asparagales
75952,Erythranthe,Phrymaceae,Lamiales
75953,Chamaedorea,Arecaceae,Arecales
75954,Lespedeza,Fabaceae,Fabales
75955,Thereianthus,Iridaceae,Asparagales
75956,Tragus,Poaceae,Poales
75957,Gagea,Liliaceae,Liliales
75958,Costus,Costaceae,Zingiberales
75959,Watsonia,Iridaceae,Asparagales
75960,Jatropha,Euphorbiaceae,Malpighiales
75961,Schoenus,Cyperaceae,Poales
75962,Vaccinium,Ericaceae,Ericales
75963,Laurelia,Atherospermataceae,Laurales
75964,Salix,Salicaceae,Malpighiales
75965,Zephyranthes,Amaryllidaceae,Asparagales
75966,Begonia,Begoniaceae,Cucurbitales
75967,Thrixspermum,Orchidaceae,Asparagales
75968,Galium,Rubiaceae,Gentianales
75969,Disa,Orchidaceae,Asparagales
75970,Cyperus,Cyperaceae,Poales
75971,Campanula,Campanulaceae,Asterales
75972,Esenbeckia,Rutaceae,Sapindales
75973,Acantholimon,Plumbaginaceae,Caryophyllales
75974,Sibara,Brassicaceae,Brassicales
75975,Lippia,Verbenaceae,Lamiales
75976,Crotalaria,Fabaceae,Fabales
75977,Arracacia,Apiaceae,Apiales
75978,Diplusodon,Lythraceae,Myrtales
75979,Durio,Malvaceae,Malvales
75980,Micropholis,Sapotaceae,Ericales
75981,Habenaria,Orchidaceae,Asparagales
75982,Caladenia,Orchidaceae,Asparagales
75983,Manihot,Euphorbiaceae,Malpighiales
75984,Pedicularis,Orobanchaceae,Lamiales
75985,Elymus,Poaceae,Poales
75986,Glochidion,Phyllanthaceae,Malpighiales
75987,Geranium,Geraniaceae,Geraniales
75988,Citharexylum,Verbenaceae,Lamiales
75989,Lobelia,Campanulaceae,Asterales
75990,Wendlandia,Rubiaceae,Gentianales
75991,Oxalis,Oxalidaceae,Oxalidales
75992,Heteranthera,Pontederiaceae,Commelinales
75993,Hoffmannia,Rubiaceae,Gentianales
75994,Calceolaria,Calceolariaceae,Lamiales
75995,Hoffmannia,Rubiaceae,Gentianales
75996,Anemia,Anemiaceae,Schizaeales
75997,Rubus,Rosaceae,Rosales
75998,Talisia,Sapindaceae,Sapindales
75999,Goodenia,Goodeniaceae,Asterales
76000,Anthurium,Araceae,Alismatales
76001,Cotopaxia,Apiaceae,Apiales
76002,Juncus,Juncaceae,Poales
76003,Tectaria,Tectariaceae,Polypodiales
76004,Crataegus,Rosaceae,Rosales
76005,Psorothamnus,Fabaceae,Fabales
76006,Acacia,Fabaceae,Fabales
76007,Beta,Amaranthaceae,Caryophyllales
76008,Goodenia,Goodeniaceae,Asterales
76009,Andropogon,Poaceae,Poales
76010,Galium,Rubiaceae,Gentianales
76011,Sticherus,Gleicheniaceae,Gleicheniales
76012,Peperomia,Piperaceae,Piperales
76013,Astelia,Asteliaceae,Asparagales
76014,Dracoscirpoides,Cyperaceae,Poales
76015,Phyllagathis,Melastomataceae,Myrtales
76016,Coussapoa,Urticaceae,Rosales
76017,Pitcairnia,Bromeliaceae,Poales
76018,Chimonobambusa,Poaceae,Poales
76019,Bulbophyllum,Orchidaceae,Asparagales
76020,Banara,Salicaceae,Malpighiales
76021,Moraea,Iridaceae,Asparagales
76022,Cayratia,Vitaceae,Vitales
76023,Saxifraga,Saxifragaceae,Saxifragales
76024,Argentipallium,Asteraceae,Asterales
76025,Astragalus,Fabaceae,Fabales
76026,Paepalanthus,Eriocaulaceae,Poales
76027,Pterospermum,Malvaceae,Malvales
76028,Utricularia,Lentibulariaceae,Lamiales
76029,Tithonia,Asteraceae,Asterales
76030,Lotononis,Fabaceae,Fabales
76031,Rhodospatha,Araceae,Alismatales
76032,Paysonia,Brassicaceae,Brassicales
76033,Eremophila,Scrophulariaceae,Lamiales
76034,Zeyheria,Bignoniaceae,Lamiales
76035,Trichopilia,Orchidaceae,Asparagales
76036,Staurogyne,Acanthaceae,Lamiales
76037,Hymenophyllum,Hymenophyllaceae,Hymenophyllales
76038,Lysimachia,Primulaceae,Ericales
76039,Fimbristylis,Cyperaceae,Poales
76040,Senecio,Asteraceae,Asterales
76041,Mitella,Saxifragaceae,Saxifragales
76042,Polygala,Polygalaceae,Fabales
76043,Galianthe,Rubiaceae,Gentianales
76044,Stephania,Menispermaceae,Ranunculales
76045,Holocheilus,Asteraceae,Asterales
76046,Caladium,Araceae,Alismatales
76047,Cordia,Boraginaceae,Boraginales
76048,Chromolaena,Asteraceae,Asterales
76049,Chamaecyparis,Cupressaceae,Pinales
76050,Billbergia,Bromeliaceae,Poales
76051,Pleiotaxis,Asteraceae,Asterales
76052,Romulea,Iridaceae,Asparagales
76053,Podalyria,Fabaceae,Fabales
76054,Tovomita,Clusiaceae,Malpighiales
76055,Salvia,Lamiaceae,Lamiales
76056,Elephantopus,Asteraceae,Asterales
76057,Gomesa,Orchidaceae,Asparagales
76058,Eucalyptus,Myrtaceae,Myrtales
76059,Bulbophyllum,Orchidaceae,Asparagales
76060,Stelis,Orchidaceae,Asparagales
76061,Isocoma,Asteraceae,Asterales
76062,Alpinia,Zingiberaceae,Zingiberales
76063,Calceolaria,Calceolariaceae,Lamiales
76064,Ornithoglossum,Colchicaceae,Liliales
76065,Zaluzianskya,Scrophulariaceae,Lamiales
76066,Encholirium,Bromeliaceae,Poales
76067,Clerodendrum,Lamiaceae,Lamiales
76068,Bridelia,Phyllanthaceae,Malpighiales
76069,Rhynchospora,Cyperaceae,Poales
76070,Metalasia,Asteraceae,Asterales
76071,Ardisia,Primulaceae,Ericales
76072,Guioa,Sapindaceae,Sapindales
76073,Saurauia,Actinidiaceae,Ericales
76074,Habenaria,Orchidaceae,Asparagales
76075,Eragrostis,Poaceae,Poales
76076,Haplophyllum,Rutaceae,Sapindales
76077,Gentiana,Gentianaceae,Gentianales
76078,Yushania,Poaceae,Poales
76079,Vitis,Vitaceae,Vitales
76080,Erica,Ericaceae,Ericales
76081,Cotula,Asteraceae,Asterales
76082,Gonystylus,Thymelaeaceae,Malvales
76083,Embelia,Primulaceae,Ericales
76084,Stryphnodendron,Fabaceae,Fabales
76085,Eriocaulon,Eriocaulaceae,Poales
76086,Habenaria,Orchidaceae,Asparagales
76087,Carex,Cyperaceae,Poales
76088,Cressa,Convolvulaceae,Solanales
76089,Boronia,Rutaceae,Sapindales
76090,nan,nan,nan
76091,Salomonia,Polygalaceae,Fabales
76092,Rosa,Rosaceae,Rosales
76093,Leymus,Poaceae,Poales
76094,Myrcia,Myrtaceae,Myrtales
76095,Carmichaelia,Fabaceae,Fabales
76096,Begonia,Begoniaceae,Cucurbitales
76097,Eremophila,Scrophulariaceae,Lamiales
76098,Iris,Iridaceae,Asparagales
76099,Hymenophyllum,Hymenophyllaceae,Hymenophyllales
76100,Stachyphrynium,Marantaceae,Zingiberales
76101,Sisymbrium,Brassicaceae,Brassicales
76102,Distemonanthus,Fabaceae,Fabales
76103,Trigonia,Trigoniaceae,Malpighiales
76104,Chamaemelum,Asteraceae,Asterales
76105,Bergia,Elatinaceae,Malpighiales
76106,Digitaria,Poaceae,Poales
76107,Erythrina,Fabaceae,Fabales
76108,Cybianthus,Primulaceae,Ericales
76109,Pultenaea,Fabaceae,Fabales
76110,Festuca,Poaceae,Poales
76111,Lobelia,Campanulaceae,Asterales
76112,Equisetum,Equisetaceae,Equisetales
76113,Firmiana,Malvaceae,Malvales
76114,Chascanum,Verbenaceae,Lamiales
76115,Ferocactus,Cactaceae,Caryophyllales
76116,Asplenium,Aspleniaceae,Polypodiales
76117,Spatalla,Proteaceae,Proteales
76118,Styrax,Styracaceae,Ericales
76119,Wahlenbergia,Campanulaceae,Asterales
76120,Philodendron,Araceae,Alismatales
76121,Campylocentrum,Orchidaceae,Asparagales
76122,Acacia,Fabaceae,Fabales
76123,Ipomopsis,Polemoniaceae,Ericales
76124,Androsace,Primulaceae,Ericales
76125,Arthropogon,Poaceae,Poales
76126,Erica,Ericaceae,Ericales
76127,Cyrtorchis,Orchidaceae,Asparagales
76128,Varronia,Boraginaceae,Boraginales
76129,Hibiscus,Malvaceae,Malvales
76130,Calceolaria,Calceolariaceae,Lamiales
76131,Sumbaviopsis,Euphorbiaceae,Malpighiales
76132,Pyrenacantha,Icacinaceae,Icacinales
76133,Muellera,Fabaceae,Fabales
76134,Oxalis,Oxalidaceae,Oxalidales
76135,Diospyros,Ebenaceae,Ericales
76136,Cliffortia,Rosaceae,Rosales
76137,Astragalus,Fabaceae,Fabales
76138,Euphorbia,Euphorbiaceae,Malpighiales
76139,Wurmbea,Colchicaceae,Liliales
76140,Swertia,Gentianaceae,Gentianales
76141,Nautilocalyx,Gesneriaceae,Lamiales
76142,Populus,Salicaceae,Malpighiales
76143,Petrocodon,Gesneriaceae,Lamiales
76144,Carpinus,Betulaceae,Fagales
76145,Hymenolepis,Asteraceae,Asterales
76146,Ixia,Iridaceae,Asparagales
76147,Erisma,Vochysiaceae,Myrtales
76148,Aspilia,Asteraceae,Asterales
76149,Androsace,Primulaceae,Ericales
76150,Piper,Piperaceae,Piperales
76151,Yushania,Poaceae,Poales
76152,Trollius,Ranunculaceae,Ranunculales
76153,Eragrostis,Poaceae,Poales
76154,Mikania,Asteraceae,Asterales
76155,Garrya,Garryaceae,Garryales
76156,Palicourea,Rubiaceae,Gentianales
76157,Polystachya,Orchidaceae,Asparagales
76158,Gentiana,Gentianaceae,Gentianales
76159,Pyrrosia,Polypodiaceae,Polypodiales
76160,Spinacia,Amaranthaceae,Caryophyllales
76161,Triumfetta,Malvaceae,Malvales
76162,Swainsona,Fabaceae,Fabales
76163,Sinningia,Gesneriaceae,Lamiales
76164,Ardisia,Primulaceae,Ericales
76165,Piper,Piperaceae,Piperales
76166,Dolomiaea,Asteraceae,Asterales
76167,Trachycystis,Mniaceae,Bryales
76168,Dorstenia,Moraceae,Rosales
76169,Najas,Hydrocharitaceae,Alismatales
76170,Suaeda,Amaranthaceae,Caryophyllales
76171,Micropholis,Sapotaceae,Ericales
76172,Crataegus,Rosaceae,Rosales
76173,Tillandsia,Bromeliaceae,Poales
76174,Helichrysum,Asteraceae,Asterales
76175,Pavonia,Malvaceae,Malvales
76176,Hedosyne,Asteraceae,Asterales
76177,Hakea,Proteaceae,Proteales
76178,Panicum,Poaceae,Poales
76179,Brosimum,Moraceae,Rosales
76180,Corymbia,Myrtaceae,Myrtales
76181,Goodyera,Orchidaceae,Asparagales
76182,Gomphrena,Amaranthaceae,Caryophyllales
76183,Parodia,Cactaceae,Caryophyllales
76184,Curtisia,Curtisiaceae,Cornales
76185,Gasteria,Asphodelaceae,Asparagales
76186,Croton,Euphorbiaceae,Malpighiales
76187,Blepharis,Acanthaceae,Lamiales
76188,Potentilla,Rosaceae,Rosales
76189,Nicotiana,Solanaceae,Solanales
76190,Krapovickasia,Malvaceae,Malvales
76191,Euclea,Ebenaceae,Ericales
76192,Crossopetalum,Celastraceae,Celastrales
76193,Elaphoglossum,Dryopteridaceae,Polypodiales
76194,Phylacium,Fabaceae,Fabales
76195,Agouticarpa,Rubiaceae,Gentianales
76196,Callicarpa,Lamiaceae,Lamiales
76197,Erythronium,Liliaceae,Liliales
76198,Dichaea,Orchidaceae,Asparagales
76199,Carex,Cyperaceae,Poales
76200,Filago,Asteraceae,Asterales
76201,Neoroepera,Picrodendraceae,Malpighiales
76202,Elegia,Restionaceae,Poales
76203,Miconia,Melastomataceae,Myrtales
76204,Besleria,Gesneriaceae,Lamiales
76205,Puya,Bromeliaceae,Poales
76206,Bonamia,Convolvulaceae,Solanales
76207,Paphiopedilum,Orchidaceae,Asparagales
76208,Potentilla,Rosaceae,Rosales
76209,Syagrus,Arecaceae,Arecales
76210,Zoysia,Poaceae,Poales
76211,Solanum,Solanaceae,Solanales
76212,Cotinus,Anacardiaceae,Sapindales
76213,Astragalus,Fabaceae,Fabales
76214,Hedysarum,Fabaceae,Fabales
76215,Primula,Primulaceae,Ericales
76216,Peperomia,Piperaceae,Piperales
76217,Sporobolus,Poaceae,Poales
76218,Phedimus,Crassulaceae,Saxifragales
76219,Crepis,Asteraceae,Asterales
76220,Myrcia,Myrtaceae,Myrtales
76221,Constantia,Orchidaceae,Asparagales
76222,Parnassia,Celastraceae,Celastrales
76223,Calystegia,Convolvulaceae,Solanales
76224,Petrophile,Proteaceae,Proteales
76225,Quercus,Fagaceae,Fagales
76226,Linum,Linaceae,Malpighiales
76227,Struthiola,Thymelaeaceae,Malvales
76228,Prostanthera,Lamiaceae,Lamiales
76229,Aeonium,Crassulaceae,Saxifragales
76230,Jacquemontia,Convolvulaceae,Solanales
76231,Acacia,Fabaceae,Fabales
76232,Selaginella,Selaginellaceae,Selaginellales
76233,Lupinus,Fabaceae,Fabales
76234,Delosperma,Aizoaceae,Caryophyllales
76235,Thelymitra,Orchidaceae,Asparagales
76236,Eulophia,Orchidaceae,Asparagales
76237,Linum,Linaceae,Malpighiales
76238,Coelogyne,Orchidaceae,Asparagales
76239,Zanthoxylum,Rutaceae,Sapindales
76240,Pedicularis,Orobanchaceae,Lamiales
76241,Astrocaryum,Arecaceae,Arecales
76242,Periploca,Apocynaceae,Gentianales
76243,Pilosocereus,Cactaceae,Caryophyllales
76244,Euryops,Asteraceae,Asterales
76245,Selago,Scrophulariaceae,Lamiales
76246,Camellia,Theaceae,Ericales
76247,Cullen,Fabaceae,Fabales
76248,Rhipidoglossum,Orchidaceae,Asparagales
76249,Euphorbia,Euphorbiaceae,Malpighiales
76250,Pyrenaria,Theaceae,Ericales
76251,Cyperus,Cyperaceae,Poales
76252,Prasophyllum,Orchidaceae,Asparagales
76253,Canna,Cannaceae,Zingiberales
76254,Morus,Moraceae,Rosales
76255,Euonymus,Celastraceae,Celastrales
76256,Lindsaea,Lindsaeaceae,Polypodiales
76257,Hermannia,Malvaceae,Malvales
76258,Washingtonia,Cupressaceae,Pinales
76259,Vitis,Vitaceae,Vitales
76260,Hyptis,Lamiaceae,Lamiales
76261,Ipomoea,Convolvulaceae,Solanales
76262,Tillandsia,Bromeliaceae,Poales
76263,Dyckia,Bromeliaceae,Poales
76264,Dryadella,Orchidaceae,Asparagales
76265,Metastelma,Apocynaceae,Gentianales
76266,Gladiolus,Iridaceae,Asparagales
76267,Swartzia,Fabaceae,Fabales
76268,Lasthenia,Asteraceae,Asterales
76269,Alchornea,Euphorbiaceae,Malpighiales
76270,Hibiscus,Malvaceae,Malvales
76271,Raphionacme,Apocynaceae,Gentianales
76272,Etlingera,Zingiberaceae,Zingiberales
76273,Juncus,Juncaceae,Poales
76274,Sterigmapetalum,Rhizophoraceae,Malpighiales
76275,Syzygium,Myrtaceae,Myrtales
